SKU,Categoria,Subcategoria,Nombre Producto,Descripcion Corta,Descripcion Larga,Unidad Medida,Presentacion Comercial,Tipo
COMB-0001,Combustibles y lubricantes,Diesel,Diesel automotriz,Combustible maquinaria pesada,"Combustible maquinaria pesada. Para construccion de obra civil, terracerias y pavimentos en Mexico.",LITRO,Litro,PRODUCTO
COMB-0002,Combustibles y lubricantes,Diesel,Diesel bajo azufre ULSD,Ultra bajo azufre Tier 4,"Ultra bajo azufre Tier 4. Para construccion de obra civil, terracerias y pavimentos en Mexico.",LITRO,Litro,PRODUCTO
COMB-0003,Combustibles y lubricantes,Gasolina,Gasolina Magna 87 octanos,Vehiculos ligeros,"Vehiculos ligeros. Para construccion de obra civil, terracerias y pavimentos en Mexico.",LITRO,Litro,PRODUCTO
COMB-0004,Combustibles y lubricantes,Gasolina,Gasolina Premium 91 octanos,Alto octanaje,"Alto octanaje. Para construccion de obra civil, terracerias y pavimentos en Mexico.",LITRO,Litro,PRODUCTO
COMB-0005,Combustibles y lubricantes,Aceite motor,Aceite 15W-40 CI-4 cubeta,Motor diesel CI-4,"Motor diesel CI-4. Para construccion de obra civil, terracerias y pavimentos en Mexico.",CUBETA_19L,Cubeta 19 L,PRODUCTO
COMB-0006,Combustibles y lubricantes,Aceite motor,Aceite 15W-40 CI-4 tambor,Motor diesel CI-4 tambor,"Motor diesel CI-4 tambor. Para construccion de obra civil, terracerias y pavimentos en Mexico.",TAMBOR_200L,Tambor 200 L,PRODUCTO
COMB-0007,Combustibles y lubricantes,Aceite motor,Aceite 15W-40 CK-4 cubeta,Motor diesel CK-4,"Motor diesel CK-4. Para construccion de obra civil, terracerias y pavimentos en Mexico.",CUBETA_19L,Cubeta 19 L,PRODUCTO
COMB-0008,Combustibles y lubricantes,Aceite motor,Aceite 15W-40 CK-4 tambor,Motor diesel CK-4 tambor,"Motor diesel CK-4 tambor. Para construccion de obra civil, terracerias y pavimentos en Mexico.",TAMBOR_200L,Tambor 200 L,PRODUCTO
COMB-0009,Combustibles y lubricantes,Aceite motor,Aceite 10W-30 CI-4 cubeta,Motor diesel CI-4,"Motor diesel CI-4. Para construccion de obra civil, terracerias y pavimentos en Mexico.",CUBETA_19L,Cubeta 19 L,PRODUCTO
COMB-0010,Combustibles y lubricantes,Aceite motor,Aceite 10W-30 CI-4 tambor,Motor diesel CI-4 tambor,"Motor diesel CI-4 tambor. Para construccion de obra civil, terracerias y pavimentos en Mexico.",TAMBOR_200L,Tambor 200 L,PRODUCTO
COMB-0011,Combustibles y lubricantes,Aceite motor,Aceite 10W-30 CK-4 cubeta,Motor diesel CK-4,"Motor diesel CK-4. Para construccion de obra civil, terracerias y pavimentos en Mexico.",CUBETA_19L,Cubeta 19 L,PRODUCTO
COMB-0012,Combustibles y lubricantes,Aceite motor,Aceite 10W-30 CK-4 tambor,Motor diesel CK-4 tambor,"Motor diesel CK-4 tambor. Para construccion de obra civil, terracerias y pavimentos en Mexico.",TAMBOR_200L,Tambor 200 L,PRODUCTO
COMB-0013,Combustibles y lubricantes,Aceite motor,Aceite 10W-40 CI-4 cubeta,Motor diesel CI-4,"Motor diesel CI-4. Para construccion de obra civil, terracerias y pavimentos en Mexico.",CUBETA_19L,Cubeta 19 L,PRODUCTO
COMB-0014,Combustibles y lubricantes,Aceite motor,Aceite 10W-40 CI-4 tambor,Motor diesel CI-4 tambor,"Motor diesel CI-4 tambor. Para construccion de obra civil, terracerias y pavimentos en Mexico.",TAMBOR_200L,Tambor 200 L,PRODUCTO
COMB-0015,Combustibles y lubricantes,Aceite motor,Aceite 10W-40 CK-4 cubeta,Motor diesel CK-4,"Motor diesel CK-4. Para construccion de obra civil, terracerias y pavimentos en Mexico.",CUBETA_19L,Cubeta 19 L,PRODUCTO
