ARIA27 - AUDITORÍA TOTAL DE CÓDIGO
Fecha: 06/01/2026 07:27:02 p. m.
==================================================
TOTAL ARCHIVOS: 120
TOTAL LINEAS: 27306
==================================================
package-lock.json | 10020 líneas | 353.15 KB
aria27-timonfx.ps1 | 1036 líneas | 32.45 KB
aria27-icons-final.ps1 | 1007 líneas | 32.62 KB
aria27-compact-cards.ps1 | 976 líneas | 30.59 KB
aria27-redesign.ps1 | 935 líneas | 29.06 KB
aria27-icon-badge-fix.ps1 | 752 líneas | 21.04 KB
aria27-timonfx-compras.ps1 | 731 líneas | 30.17 KB
aria27-fix-badges.ps1 | 603 líneas | 31.19 KB
aria27-azul-logo.ps1 | 547 líneas | 27.24 KB
aria27-clean-bg.ps1 | 538 líneas | 23 KB
app\dashboard\requisiciones\requisiciones\tramite\page.tsx | 512 líneas | 23.63 KB
app\api\export\route.ts | 450 líneas | 24.27 KB
app\api\webhook\attendance\route.ts | 360 líneas | 14.45 KB
app\dashboard\requisiciones\requisiciones\ordenes\page.tsx | 359 líneas | 20.19 KB
app\dashboard\configuracion\correo\page.tsx | 356 líneas | 17.67 KB
app\dashboard\talento\personal\page.tsx | 332 líneas | 17.82 KB
app\dashboard\requisiciones\requisiciones\estatus\page.tsx | 305 líneas | 12.93 KB
app\dashboard\requisiciones\cotizaciones\page.tsx | 282 líneas | 12.8 KB
app\dashboard\page.tsx | 271 líneas | 9.79 KB
app\dashboard\talento\usuarios\page.tsx | 268 líneas | 13.68 KB
app\page.tsx | 248 líneas | 10.55 KB
app\dashboard\requisiciones\requisiciones\page.tsx | 248 líneas | 17.14 KB
components\dashboard\Sidebar.tsx | 229 líneas | 9.06 KB
app\dashboard\talento\nomina\pre-nomina\page.tsx | 227 líneas | 10.38 KB
app\dashboard\layout.tsx | 222 líneas | 9.63 KB
app\dashboard\requisiciones\proveedores\page.tsx | 210 líneas | 14.33 KB
app\dashboard\requisiciones\requisiciones\nuevo\page.tsx | 204 líneas | 11.85 KB
app\dashboard\talento\checadas\page.tsx | 199 líneas | 9.96 KB
app\dashboard\finanzas\gastos-obra\page.tsx | 198 líneas | 13.13 KB
app\dashboard\talento\nomina\page.tsx | 189 líneas | 12.05 KB
app\dashboard\configuracion\maestros\centros\page.tsx | 181 líneas | 9.86 KB
app\dashboard\requisiciones\requisiciones\autorizar\page.tsx | 163 líneas | 7.69 KB
app\dashboard\talento\prestaciones\vacaciones\page.tsx | 162 líneas | 7.58 KB
app\dashboard\talento\gastos-obra\page.tsx | 160 líneas | 8.46 KB
app\dashboard\talento\prestaciones\prestamos\page.tsx | 156 líneas | 8.03 KB
src\components\dashboard\ModuleCard.tsx | 143 líneas | 4.74 KB
app\dashboard\requisiciones\productos\page.tsx | 128 líneas | 7.18 KB
app\dashboard\talento\matriz\page.tsx | 118 líneas | 5.86 KB
app\dashboard\requisiciones\page.tsx | 115 líneas | 4.25 KB
app\api\requisicion\route.ts | 112 líneas | 9.9 KB
app\globals.css | 104 líneas | 2.86 KB
app\dashboard\configuracion\maestros\nomina\page.tsx | 94 líneas | 3.88 KB
app\api\mail\inbox\route.ts | 90 líneas | 3.48 KB
app\dashboard\talento\page.tsx | 88 líneas | 3.24 KB
app\dashboard\obras\page.tsx | 88 líneas | 3.2 KB
app\dashboard\configuracion\page.tsx | 88 líneas | 3.19 KB
scripts\seed-aria27.js | 86 líneas | 3.22 KB
src\app\dashboard\supply-desk\requisition\page.tsx | 84 líneas | 5.48 KB
app\dashboard\requisiciones\compras\page.tsx | 83 líneas | 3.51 KB
app\dashboard\finanzas\page.tsx | 81 líneas | 2.34 KB
