ID,SKU,NOMBRE,DESCRIPCION,UNIDAD,CATEGORIA
6140,"ACER-0011","Angulo 1.5x1.5 pulgada cal 14 6m","Estructural","TRAMO","Acero estructural"
6139,"ACER-0010","Angulo 1x1 pulgada cal 14 6m","Estructural","TRAMO","Acero estructural"
6142,"ACER-0013","Angulo 2x2 pulgada 3/16 6m","Estructural","TRAMO","Acero estructural"
6141,"ACER-0012","Angulo 2x2 pulgada cal 14 6m","Estructural","TRAMO","Acero estructural"
6143,"ACER-0014","Angulo 3x3 pulgada 1/4 6m","Estructural","TRAMO","Acero estructural"
6155,"ACER-0026","Canal CPS 4 pulgadas 6m","Monten","TRAMO","Acero estructural"
6156,"ACER-0027","Canal CPS 6 pulgadas 6m","Monten","TRAMO","Acero estructural"
6151,"ACER-0022","Cuadrado 1/2 pulgada 6m","Macizo","TRAMO","Acero estructural"
6150,"ACER-0021","Cuadrado 3/8 pulgada 6m","Macizo","TRAMO","Acero estructural"
6163,"ACER-0034","Lamina galvanizada acanalada cal 24 1x2m","Techo","PIEZA","Acero estructural"
6162,"ACER-0033","Lamina galvanizada acanalada cal 26 1x2m","Techo","PIEZA","Acero estructural"
6161,"ACER-0032","Lamina galvanizada cal 22 1x2m","Lisa","PIEZA","Acero estructural"
6160,"ACER-0031","Lamina galvanizada cal 24 1x2m","Lisa","PIEZA","Acero estructural"
6159,"ACER-0030","Lamina negra cal 10 1.22x2.44","Lisa","PIEZA","Acero estructural"
6158,"ACER-0029","Lamina negra cal 12 1.22x2.44","Lisa","PIEZA","Acero estructural"
6157,"ACER-0028","Lamina negra cal 14 1.22x2.44","Lisa","PIEZA","Acero estructural"
6164,"ACER-0035","Lamina pintro acanalada cal 26 1x2m","Techo","PIEZA","Acero estructural"
6165,"ACER-0036","Lamina pintro R101 cal 26 1x6m","Techo","PIEZA","Acero estructural"
6166,"ACER-0037","Lamina translucida 1x2m","Fibra vidrio","PIEZA","Acero estructural"
6167,"ACER-0038","Malla electrosoldada 6x6-10/10 2.5x6m","Refuerzo","PIEZA","Acero estructural"
6169,"ACER-0040","Malla electrosoldada 6x6-6/6 2.5x6m","Refuerzo","PIEZA","Acero estructural"
6168,"ACER-0039","Malla electrosoldada 6x6-8/8 2.5x6m","Refuerzo","PIEZA","Acero estructural"
6131,"ACER-0002","PTR 2x2 pulgadas cal 12 6m","Perfil tubular","TRAMO","Acero estructural"
6130,"ACER-0001","PTR 2x2 pulgadas cal 14 6m","Perfil tubular","TRAMO","Acero estructural"
6133,"ACER-0004","PTR 3x3 pulgadas cal 12 6m","Perfil tubular","TRAMO","Acero estructural"
6132,"ACER-0003","PTR 3x3 pulgadas cal 14 6m","Perfil tubular","TRAMO","Acero estructural"
6135,"ACER-0006","PTR 4x4 pulgadas cal 12 6m","Perfil tubular","TRAMO","Acero estructural"
6134,"ACER-0005","PTR 4x4 pulgadas cal 14 6m","Perfil tubular","TRAMO","Acero estructural"
6148,"ACER-0019","Redondo liso 1/2 pulgada 6m","Barra","TRAMO","Acero estructural"
6147,"ACER-0018","Redondo liso 3/8 pulgada 6m","Barra","TRAMO","Acero estructural"
